file	hex_literals	rgb_literals
src/components/ProcurementRiskClient.tsx	11	2
src/components/ProductBomLinkClient.tsx	5	0
src/components/ProductBOMManager.tsx	18	5
src/components/ProductBomPanelClient.tsx	3	0
src/components/ProductCostLineEditPageClient.tsx	8	1
src/components/ProductEditPageClient.tsx	20	8
src/components/ProductIntelligenceClient.tsx	17	3
src/components/ProductIntelligenceLiveClient.tsx	7	1
src/components/ProductionIntelligenceClient.tsx	10	1
src/components/ProductionPlanningClient.tsx	9	3
src/components/ProductionRunDetailClient.tsx	5	0
src/components/ProductionRunNewClient.tsx	0	1
src/components/ProductionRunsListClient.tsx	4	1
src/components/ProductionVariancesClient.tsx	2	1
src/components/ProductLaunchChecklistClient.tsx	1	1
src/components/ProductManagerClient.tsx	6	2
src/components/ProductProfitabilityCentreClient.tsx	11	6
src/components/ProductProfitabilityClient.tsx	13	2
src/components/ProductsManager.tsx	14	2
src/components/ProfitProtectionHero.tsx	5	0
src/components/ProfitRecoveryPipeline.tsx	3	0
src/components/PurchaseOrderBuilderClient.tsx	5	1
src/components/PurchaseOrderDashboardClient.tsx	1	3
src/components/PurchaseOrderFormClient.tsx	8	1
src/components/PurchaseOrderIntelligenceClient.tsx	5	3
src/components/PurchaseOrderListClient.tsx	0	2
src/components/PurchaseOrdersClient.tsx	11	4
src/components/QuickActionLink.tsx	1	0
src/components/RecipeBomBuilder.tsx	11	2
src/components/RecipeCostDrilldownClient.tsx	7	1
src/components/RecipeDetailClient.tsx	5	3
src/components/RecipeEditPageClient.tsx	8	1
src/components/RecipesManager.tsx	13	2
src/components/RecoverableHeroCard.tsx	6	0
src/components/RecoveryApprovalsClient.tsx	12	3
src/components/RecoveryOpportunitiesClient.tsx	12	7
src/components/RecoveryOpportunityDetailClient.tsx	15	0
src/components/RecoveryOpportunityShowcase.tsx	2	0
src/components/RecoveryStatusClient.tsx	3	0
src/components/ReportOptionCard.tsx	8	6
src/components/ReportsLauncherClient.tsx	0	1
src/components/ReportTableShell.tsx	0	1
src/components/SalesPriceListBuilderClient.tsx	4	1
src/components/SavingsTrackerClient.tsx	3	0
src/components/SearchFilterBar.tsx	6	0
src/components/StatusPill.tsx	6	0
src/components/StockImpactSimulatorClient.tsx	3	1
src/components/StoreDetailPageClient.tsx	0	1
src/components/SupplierAiRecommendations.tsx	2	0
src/components/SupplierBenchmarkCentreClient.tsx	7	3
src/components/SupplierEditPageClient.tsx	10	2
src/components/SupplierInflationImpactClient.tsx	9	2
src/components/SupplierIntelligenceDashboardClient.tsx	3	1
src/components/SupplierInvoiceBuilderClient.tsx	6	1
src/components/SupplierInvoiceListClient.tsx	1	1
src/components/SupplierLearningClient.tsx	3	0
src/components/SupplierLinkedIngredientsClient.tsx	3	0
src/components/SupplierManagerClient.tsx	4	2
src/components/SupplierNegotiationPackClient.tsx	2	1
src/components/SupplierProfileClient.tsx	11	0
src/components/SupplierRegisterClient.tsx	3	2
src/components/SupplierScorecardsClient.tsx	5	1
src/components/SuppliersManager.tsx	14	2
src/components/ThreatCentrePanel.tsx	3	0
src/components/TrainingCentreClient.tsx	3	1
src/components/TrainingManualClient.tsx	3	0
src/components/UnitEconomicsDashboardClient.tsx	3	0
src/components/UnitsOfMeasureManager.tsx	8	2
src/components/VyronCostAiShellClient.tsx	3	0
src/components/VyronCostAiStyleDashboard.tsx	12	9
src/components/VyronCostDataPage.tsx	2	5
src/components/VyronCostSidebar.tsx	4	0
src/components/VyronFieldGuide.tsx	0	1
src/components/VyronLandingPage.tsx	13	0
src/components/VyronPageHelpCard.tsx	0	1
src/components/VyronPremiumCard.tsx	1	0
src/components/VyronPremiumSprint.tsx	3	3
src/components/VyronPublicLandingPage.tsx	19	6
src/components/VyronSurfaceCard.tsx	1	0
src/components/WasteControlCentreClient.tsx	5	1
src/components/WhatIfSimulatorClient.tsx	12	1
src/components/WorkspaceOnboardingDashboard.tsx	0	1
src/components/YieldEngineAdvancedClient.tsx	17	1
src/components/admin/BrandingDesignerClient.tsx	17	0
src/components/admin/ClientCompanySetupClient.tsx	6	0
src/components/admin/ClientUserSetupClient.tsx	4	11
src/components/admin/DeploymentReadinessAccessGuard.tsx	2	0
src/components/admin/DeploymentReadinessClient.tsx	13	0
src/components/admin/PackageGatedSection.tsx	1	0
src/components/ai-financial/AiCfoCommandCentreClient.tsx	1	0
src/components/ai-financial/AiFinancialModulesClient.tsx	2	0
src/components/ai-financial/BoardroomInsightsClient.tsx	4	0
src/components/ai-financial/ExecutiveTimelineClient.tsx	2	0
src/components/autonomous/AutonomousIntelligenceClients.tsx	7	3
src/components/enterprise/BudgetDashboardClient.tsx	3	0
src/components/enterprise/ComplianceCentreClient.tsx	2	0
src/components/enterprise/ContractsClient.tsx	1	0
src/components/enterprise/EnterpriseForecastClient.tsx	4	0
src/components/enterprise/RiskCentreClient.tsx	2	0
src/components/enterprise/RolePermissionMatrixClient.tsx	3	0
src/components/enterprise/ScenarioModellingClient.tsx	6	0
src/components/enterprise-platform/EnterprisePlatformClients.tsx	13	2
src/components/enterprise-platform/EnterprisePlatformShared.tsx	1	2
src/components/executive/ActionsCentreClient.tsx	46	0
src/components/executive/AiCostIntelligenceClient.tsx	2	2
src/components/executive/AskVyronClient.tsx	31	0
src/components/executive/AutonomousCommandCentreClient.tsx	50	0
src/components/executive/BusinessHealthCentreClient.tsx	28	0
src/components/executive/DecisionsCentreClient.tsx	40	0
src/components/executive/EarlyWarningCentreClient.tsx	34	0
src/components/executive/ExecutionCentreClient.tsx	37	0
src/components/executive/ExecutiveBoardroomClient.tsx	22	0
src/components/executive/PredictiveRiskCentreClient.tsx	34	0
src/components/executive/RootCauseCentreClient.tsx	41	0
src/components/pwa/PwaRuntime.tsx	8	9
src/components/reports/BomCompletenessReportClient.tsx	0	1
src/components/reports/CategoryReportClient.tsx	0	1
src/components/reports/CustomerProductGpReportClient.tsx	0	1
src/components/reports/IngredientReportClient.tsx	0	1
src/components/reports/ManufacturingReportClient.tsx	0	1
src/components/reports/ProductCostingReportClient.tsx	0	1
src/components/reports/ProductMarginReportClient.tsx	0	1
src/components/reports/ReportDocument.tsx	0	9
src/components/reports/SalesGpReportClient.tsx	0	1
src/components/reports/StockValuationReportClient.tsx	0	1
src/components/reports/SupplierReportClient.tsx	0	1
src/components/vyron-core/VyronCoreCommandCentreClient.tsx	6	7
src/components/vyron-core/VyronCoreForecastingClient.tsx	3	2
src/components/vyron-core/VyronCoreSimulationClient.tsx	2	2
src/components/vyron-cost/contacts/ContactCentreClient.tsx	6	0
src/components/vyron-cost/customers/CustomerIntelligenceClient.tsx	1	2
src/components/vyron-cost/customers/CustomerInvoiceDetailPageClient.tsx	2	0
src/components/vyron-cost/customers/CustomerInvoicesClient.tsx	16	0
src/components/vyron-cost/customers/CustomerSalesOrdersClient.tsx	0	2
src/components/vyron-cost/customers/CustomersClient.tsx	1	0
src/components/vyron-cost/customers/CustomerStatementsClient.tsx	0	4
src/components/vyron-cost/customers/SalesIntelligenceClient.tsx	0	3
src/components/vyron-cost/developer/DeveloperClient.tsx	17	10
src/components/vyron-cost/developer/DeveloperManageUsersClient.tsx	3	2
src/components/vyron-cost/developer/DeveloperResetCentreClient.tsx	0	5
src/components/vyron-cost/developer/DeveloperShell.tsx	1	2
src/components/vyron-cost/forecasting/DemandForecastClient.tsx	4	0
src/components/vyron-cost/forecasting/ProcurementForecastPanel.tsx	2	0
src/components/vyron-cost/imports/EnterpriseImportCentreClient.tsx	12	0
src/components/vyron-cost/imports/ImportCentreClient.tsx	5	0
src/components/vyron-cost/integrations/XeroFinancialDefaultsClient.tsx	2	0
src/components/vyron-cost/integrations/XeroIntegrationClient.tsx	18	0
src/components/vyron-cost/integrations/XeroSetupClient.tsx	5	2
src/components/vyron-cost/integrations/XeroSyncCentreClient.tsx	1	1
src/components/vyron-cost/intelligence/CostIntelligenceCentreClient.tsx	31	0
src/components/vyron-cost/intelligence/CostIntelligenceExecutiveClient.tsx	16	0
src/components/vyron-cost/inventory/FinishedGoodsClient.tsx	2	0
src/components/vyron-cost/inventory/InventoryLedgerPageClient.tsx	1	0
src/components/vyron-cost/inventory/StockLedgerClient.tsx	1	0
src/components/vyron-cost/inventory/StockMovementsPageClient.tsx	7	0
src/components/vyron-cost/manufacturing/ManufacturingIntelligenceClient.tsx	5	0
src/components/vyron-cost/procurement/ProcurementRequisitionDetailClient.tsx	3	0
src/components/vyron-cost/procurement/ProcurementRequisitionsClient.tsx	2	0
src/components/vyron-cost/procurement/PurchaseOrderEngineDetailClient.tsx	3	0
src/components/vyron-cost/procurement/PurchaseOrdersEngineClient.tsx	3	0
src/components/vyron-cost/production-planning/ProductionPlanningClient.tsx	4	0
src/components/vyron-cost/production-planning/StoreProductionRunDetailClient.tsx	3	0
src/components/vyron-cost/production-planning/StoreProductionRunsClient.tsx	1	0
src/components/vyron-cost/shared/VyronCostPageShell.tsx	0	2
src/components/vyron-cost/store-ordering/DispatchBoardClient.tsx	1	0
src/components/vyron-cost/store-ordering/ProductDemandClient.tsx	4	0
src/components/vyron-cost/store-ordering/StoreOrderDashboardClient.tsx	1	0
src/components/vyron-cost/store-ordering/StoreOrderEditorClient.tsx	7	0
src/components/vyron-cost/store-ordering/StoreOrderQueueTable.tsx	2	0
src/components/vyron-cost/store-ordering/StoreOrdersClient.tsx	3	0
src/components/vyron-cost/store-ordering/StorePerformanceClient.tsx	5	0
src/components/vyron-cost/store-ordering/StoresClient.tsx	3	0
src/components/vyron-cost/suppliers/SupplierInvoiceDetailClient.tsx	0	7
src/components/vyron-cost/suppliers/SupplierInvoicesClient.tsx	0	8
src/components/vyron-finance/FinanceImportsClient.tsx	3	0
src/components/vyron-finance/ManagementAccountsClient.tsx	3	0
src/components/vyron-mobile/VyronMobileShell.tsx	2	6
src/components/vyron-mobile/design-system/mobile-design-tokens.ts	0	6
src/components/vyron-mobile/design-system/PremiumMobileActionsAndForms.tsx	0	3
src/components/vyron-mobile/design-system/PremiumMobileBottomSheet.tsx	0	1
src/components/vyron-mobile/design-system/PremiumMobileButton.tsx	0	2
src/components/vyron-mobile/design-system/PremiumMobileExecutiveHeader.tsx	1	3
src/components/vyron-mobile/design-system/PremiumMobileKpiCarousel.tsx	0	2
src/components/vyron-mobile/design-system/PremiumMobileModuleTile.tsx	0	1
